epoch,output-distance,crispness,output-avg
1,0.2967647960662842,0.2394268661737442,0.239100031375885
2,0.2418800847530365,0.2386360466480255,0.1858068613529205
3,0.20603547270298,0.2363697737455368,0.1589822469234466
4,0.1794991533756256,0.233976662158966,0.1447854653358459
5,0.1581261490345001,0.2290399074554443,0.136795132791996
6,0.1392822256088257,0.2222219705581665,0.1318113410949707
7,0.1180164553165435,0.2065233737230301,0.1210136261940002
8,0.1023007716417312,0.1927921921014785,0.1179060203075409
9,0.0880659044861793,0.1818311810493469,0.1165606255769729
10,0.0744374356508255,0.1727172583341598,0.115914587020874
11,0.0617241334319114,0.1648956835269928,0.1157931370019912
12,0.0504915699481964,0.1576113551855087,0.1160263327598571
13,0.041018396961689,0.1513741910457611,0.1164106573581695
14,0.0332519543409347,0.1454798132181167,0.1167998259544372
15,0.026970777451992,0.1397627294063568,0.1171227315187454
16,0.0219150831103324,0.134706050157547,0.1173591070652008
17,0.0178474170804023,0.1304460614919662,0.1175124989032745
18,0.0145704519510269,0.1263113319873809,0.1175932470321655
19,0.0119261732935905,0.1225442141294479,0.1176120826721191
20,0.0097892978787422,0.1190701723098754,0.1175800904989242
21,0.0080598266243934,0.1155357733368873,0.117509543800354
22,0.0055012163519859315,0.10543853789567947,0.1254463066339493
23,0.003998354816436768,0.09921717643737793,0.12532902512550353
24,0.003018979549407959,0.09485413879156113,0.12521726703643798
25,0.0023421836733818055,0.09155212342739105,0.1251189898490906
26,0.0018539029717445374,0.08882466703653336,0.12503549964427949
27,0.0014897376894950868,0.08652915805578232,0.12496543283462525
28,0.001211065399646759,0.08453142642974854,0.12490682842731476
29,0.0009934208750724792,0.0828416496515274,0.12485780839920044
30,0.0008206015944480896,0.0813874676823616,0.12481668672561645
31,0.0006816086173057557,0.0800504982471466,0.1247821443080902
32,0.000568557894229889,0.07885061204433441,0.12475303819179535
33,0.000475896418094635,0.07778565585613251,0.12472852578163147
34,0.0003993803739547729,0.07683731615543365,0.12470785799026489
35,0.00033579918146133426,0.07600411027669907,0.12469042592048644
36,0.00028278855085372924,0.07527819275856018,0.12467576642036438
37,0.00023841390609741212,0.07465410977602005,0.12466345961093903
38,0.00020121164321899415,0.07412715256214142,0.12465316338539123
39,0.00016990691423416138,0.07358469069004059,0.12464454650878906
40,0.0001435486912727356,0.0730104148387909,0.1246373779296875
