epoch,output-distance,crispness,output-avg
1,0.0002006219744682312,0.2573096454143524,6.220817565917969e-07
2,0.000200313138961792,0.25640562176704407,3.131985664367676e-07
3,0.00020019580125808716,0.2557542026042938,1.9582509994506837e-07
4,0.0002001365065574646,0.2552341818809509,1.3648271560668946e-07
5,0.00020010159015655516,0.2548122704029083,1.0159015655517578e-07
6,0.00020007942914962768,0.25444719195365906,7.944107055664062e-08
7,0.00020006473064422607,0.2541183829307556,6.47425651550293e-08
8,0.0002000532865524292,0.2538300156593323,5.328655242919922e-08
9,0.00020004574060440063,0.2535686194896698,4.575252532958984e-08
10,0.00020003927946090697,0.2533370554447174,3.932714462280274e-08
11,0.00020003437995910644,0.2531290352344513,3.440380096435547e-08
12,0.00020003031492233275,0.25293970108032227,3.0314922332763675e-08
13,0.00020002708435058592,0.2527613341808319,2.7060508728027345e-08
14,0.00020002440214157105,0.252599835395813,2.4378299713134764e-08
15,0.00020002228021621704,0.2524450123310089,2.231597900390625e-08
16,0.000200020432472229,0.25230085849761963,2.046823501586914e-08
17,0.00020001899003982545,0.25216343998908997,1.901388168334961e-08
18,0.0002000176191329956,0.25203561782836914,1.7642974853515624e-08
19,0.0002000162959098816,0.25191381573677063,1.6331672668457033e-08
20,0.0002000152111053467,0.25179776549339294,1.5246868133544924e-08
21,0.00020001431703567504,0.2516879439353943,1.4340877532958985e-08
22,0.0002000133752822876,0.251585453748703,1.3399124145507812e-08
23,0.0002000127077102661,0.25148946046829224,1.2743473052978515e-08
24,0.00020001218318939208,0.25140053033828735,1.220703125e-08
25,0.00020001161098480224,0.2513173222541809,1.1622905731201172e-08
26,0.00020001111030578615,0.25123849511146545,1.112222671508789e-08
27,0.00020001069307327271,0.2511623203754425,1.0704994201660157e-08
28,0.00020001027584075928,0.2510908544063568,1.0275840759277344e-08
29,0.00020000988245010376,0.251023530960083,9.882450103759766e-09
30,0.00020000956058502197,0.2509596049785614,9.560585021972655e-09
31,0.0002000091552734375,0.25089865922927856,9.1552734375e-09
32,0.0002000086784362793,0.25083890557289124,8.678436279296875e-09
33,0.00020000842809677125,0.2507801651954651,8.428096771240234e-09
34,0.00020000814199447632,0.250723659992218,8.130073547363281e-09
35,0.00020000787973403932,0.25067007541656494,7.867813110351563e-09
36,0.00020000762939453124,0.25061801075935364,7.641315460205079e-09
37,0.0002000072956085205,0.25056758522987366,7.295608520507812e-09
38,0.00020000710487365721,0.2505194842815399,7.1048736572265625e-09
39,0.00020000689029693602,0.25047335028648376,6.890296936035156e-09
40,0.00020000673532485962,0.2504275143146515,6.735324859619141e-09
