epoch,correct-output,logic-correct-output,unsatisfied,examples,crispness
1,0.8245999813079834,0.3684999942779541,17241.02734375,4593.0810546875,86813.578125
2,0.8459999561309814,0.6481999754905701,14188.1181640625,3872.13232421875,83641.2421875
3,0.9145999550819397,0.7457000017166138,12344.1787109375,3822.34912109375,79598.25
4,0.9393999576568604,0.7919999957084656,10853.494140625,3716.4736328125,75202.4453125
5,0.9458999633789062,0.8292999863624573,9463.8408203125,3848.014892578125,70593.8359375
6,0.9505999684333801,0.8484999537467957,8317.6142578125,4034.612548828125,65954.8359375
7,0.9553999900817871,0.8621000051498413,7407.91748046875,4294.35107421875,61431.75390625
8,0.9580999612808228,0.8714999556541443,6664.775390625,4631.29296875,57017.65625
9,0.9605000019073486,0.8795999884605408,6006.05224609375,4967.30419921875,52847.921875
10,0.9619999527931213,0.8845999836921692,5522.5283203125,5327.08642578125,48928.45703125
11,0.9648000001907349,0.8898999691009521,5121.66162109375,5688.05029296875,45347.84765625
12,0.9667999744415283,0.8934999704360962,4806.4638671875,6083.68798828125,42114.2109375
13,0.9673999547958374,0.8966999650001526,4551.91845703125,6452.8740234375,39231.62890625
14,0.9677000045776367,0.8977999687194824,4355.5556640625,6853.57177734375,36671.84375
15,0.9690999984741211,0.9000999927520752,4142.43310546875,7278.720703125,34388.46484375
16,0.9696999788284302,0.9023999571800232,4019.06689453125,7760.21826171875,32383.64453125
17,0.9695999622344971,0.9032999873161316,3962.19873046875,8236.0361328125,30622.841796875
18,0.9703999757766724,0.9071999788284302,3902.708984375,8656.9169921875,29101.66796875
19,0.9708999991416931,0.9088000059127808,3828.27099609375,9091.0517578125,27769.31640625
20,0.971299946308136,0.9092999696731567,3753.648193359375,9540.8369140625,26604.935546875
21,0.9715999960899353,0.9151999950408936,3644.476318359375,9792.9404296875,25560.369140625
22,0.9723999500274658,0.9120999574661255,3566.19921875,10176.3173828125,24623.298828125
23,0.9731999635696411,0.9147999882698059,3500.148193359375,10434.57421875,23779.9140625
24,0.9726999998092651,0.9168999791145325,3619.349853515625,10869.29296875,23040.02734375
25,0.9715999960899353,0.9156000018119812,3470.979736328125,11099.6416015625,22376.6484375
26,0.9714999794960022,0.916700005531311,3473.6181640625,11441.9052734375,21790.28125
27,0.9723999500274658,0.9176999926567078,3311.61474609375,11432.6552734375,21257.126953125
28,0.973800003528595,0.9190999865531921,3315.218505859375,11736.5693359375,20762.234375
29,0.9727999567985535,0.9195999503135681,3252.1142578125,11913.875,20301.595703125
30,0.9729999899864197,0.9174000024795532,3194.822265625,12078.07421875,19874.34765625
31,0.9741999506950378,0.9212999939918518,3284.07080078125,12466.240234375,19489.59765625
32,0.9745999574661255,0.9208999872207642,3091.2080078125,12460.3212890625,19143.166015625
33,0.9750999808311462,0.9225999712944031,3111.174560546875,12710.640625,18829.40234375
34,0.974399983882904,0.9218999743461609,3031.920166015625,12792.5751953125,18535.92578125
35,0.9745999574661255,0.9235999584197998,2999.06640625,13001.96875,18270.275390625
36,0.975600004196167,0.9249999523162842,3002.607177734375,13296.1865234375,18033.1953125
37,0.9752999544143677,0.923799991607666,2862.783447265625,13242.8427734375,17814.73828125
38,0.9756999611854553,0.9249999523162842,2986.26416015625,13353.4443359375,17612.12890625
39,0.9740999937057495,0.9257999658584595,2846.77392578125,13467.1689453125,17428.5078125
40,0.9750999808311462,0.9268999695777893,2805.28564453125,13474.34765625,17258.875
