epoch,correct-output,test-loss,unsatisfied,examples,crispness,crisp-widths,preconditions,consequent,total
1,0.8983999490737915,0.017296746373176575,27217.669921875,6244.10107421875,85554.5234375,0.2674674093723297,30068.3203125,211454.96875,5520000.0
2,0.9218999743461609,0.017256109043955803,19105.923828125,3909.3955078125,82009.46875,0.2676715850830078,21376.505859375,210532.1875,5520000.0
3,0.9330999851226807,0.01724047213792801,14281.96875,2764.994140625,77442.6328125,0.26779457926750183,16063.65625,210120.1875,5520000.0
4,0.9398999810218811,0.017231471836566925,10834.0126953125,2065.015380859375,71985.2578125,0.26796677708625793,12229.7958984375,209970.65625,5520000.0
5,0.9465999603271484,0.01722422055900097,8412.6591796875,1601.582275390625,65969.3125,0.2680184245109558,9529.224609375,209851.078125,5520000.0
6,0.9519999623298645,0.017218034714460373,6635.2724609375,1258.493408203125,60057.8125,0.2681143581867218,7529.14208984375,209788.078125,5520000.0
7,0.9562000036239624,0.01721261441707611,5315.07373046875,996.0336303710938,54305.1171875,0.26813650131225586,6038.02978515625,209694.53125,5520000.0
8,0.9584999680519104,0.017209351062774658,4348.07568359375,805.8510131835938,48866.84765625,0.26815125346183777,4944.5615234375,209608.09375,5520000.0
9,0.9603999853134155,0.017206627875566483,3583.378662109375,665.1929931640625,43883.1796875,0.268148809671402,4082.045654296875,209561.9375,5520000.0
10,0.962399959564209,0.017203256487846375,2936.73681640625,547.9349975585938,39389.625,0.26816847920417786,3350.71142578125,209547.765625,5520000.0
11,0.9644999504089355,0.017200034111738205,2444.78173828125,454.72772216796875,35343.5546875,0.268180787563324,2790.81396484375,209539.875,5520000.0
12,0.9663999676704407,0.01719764806330204,2036.74951171875,382.79766845703125,31758.3046875,0.2681930661201477,2329.5537109375,209542.34375,5520000.0
13,0.9675999879837036,0.017196085304021835,1720.6160888671875,324.3800964355469,28617.552734375,0.2682053744792938,1970.9110107421875,209516.546875,5520000.0
14,0.9698999524116516,0.017194444313645363,1452.2156982421875,276.2276611328125,25778.119140625,0.26821276545524597,1664.683349609375,209529.796875,5520000.0
15,0.9704999923706055,0.0171932652592659,1245.4493408203125,236.23095703125,23283.810546875,0.2682226002216339,1430.3475341796875,209478.71875,5520000.0
16,0.9705999493598938,0.017192460596561432,1067.4444580078125,201.81832885742188,21018.068359375,0.26821768283843994,1227.47021484375,209436.390625,5520000.0
17,0.9710999727249146,0.017192209139466286,929.3364868164062,179.2230224609375,18978.453125,0.26822012662887573,1072.3177490234375,209434.90625,5520000.0
18,0.972000002861023,0.017191624268889427,800.6508178710938,158.32913208007812,17175.111328125,0.26821768283843994,928.3533935546875,209410.046875,5520000.0
19,0.972000002861023,0.017190875485539436,696.5087280273438,142.31973266601562,15540.470703125,0.2682226002216339,811.8875122070312,209411.125,5520000.0
20,0.9715999960899353,0.017190443351864815,608.1243286132812,128.51454162597656,14101.791015625,0.2682275176048279,713.5376586914062,209405.1875,5520000.0
21,0.972000002861023,0.01719064638018608,528.5872802734375,117.63969421386719,12840.8876953125,0.26822996139526367,625.2792358398438,209419.9375,5520000.0
22,0.9726999998092651,0.017190326005220413,458.4364318847656,100.2124252319336,11706.8916015625,0.26823490858078003,540.59375,209422.234375,5520000.0
23,0.971299946308136,0.017190368846058846,406.0390930175781,89.8492202758789,10687.837890625,0.268239825963974,480.3938293457031,209394.296875,5520000.0
