epoch,correct-output,logic-correct-output,unsatisfied,examples,crispness
1,0.8394999504089355,0.5640000104904175,17499.45703125,5461.60986328125,86261.84375
2,0.917199969291687,0.7797999978065491,14373.197265625,4755.01513671875,78924.7578125
3,0.9339999556541444,0.8637999892234802,12026.755859375,4981.59814453125,69038.2109375
4,0.9396999478340148,0.8877999782562256,9991.3828125,5704.876953125,59253.3984375
5,0.9443999528884888,0.901799976825714,8441.6630859375,6591.10546875,50813.35546875
6,0.9490000009536744,0.9103999733924866,7312.82177734375,7619.1015625,43841.94140625
7,0.9533999562263488,0.9160999655723572,6520.3515625,8753.064453125,38298.921875
8,0.9549999833106996,0.9192000031471252,5877.4501953125,9938.9609375,33902.72265625
9,0.9567999839782716,0.9233999848365784,5342.99951171875,11100.2861328125,30458.0078125
10,0.9577999711036682,0.9264000058174132,4890.1416015625,12159.16796875,27800.16796875
11,0.960599958896637,0.9296000003814696,4356.88720703125,13432.8466796875,25247.763671875
12,0.9619999527931212,0.9314000010490416,3951.51513671875,14438.0615234375,23435.58984375
13,0.9632999897003174,0.9328999519348145,3677.95751953125,15324.4609375,22041.09765625
14,0.9645999670028688,0.9348999857902528,3467.56982421875,16047.6015625,20949.0390625
15,0.9651999473571776,0.9352999925613404,3293.52685546875,16599.181640625,20093.77734375
16,0.965999960899353,0.9368000030517578,3108.145751953125,17041.36328125,19397.05859375
17,0.9662999510765076,0.937999963760376,2965.232421875,17394.060546875,18815.3359375
18,0.9673999547958374,0.9400999546051024,2828.37548828125,17626.0,18313.90625
19,0.9684000015258788,0.9418999552726746,2751.503173828125,17901.58203125,17860.85546875
20,0.9690999984741212,0.94269996881485,2728.32568359375,18150.369140625,17447.427734375
21,0.9684000015258788,0.9441999793052672,2655.90380859375,18303.74609375,17083.66796875
22,0.9696999788284302,0.944599986076355,2557.506591796875,18424.005859375,16751.087890625
23,0.9706999659538268,0.9456999897956848,2458.40234375,18490.853515625,16448.2734375
24,0.9699999690055848,0.9460999965667723,2344.453369140625,18432.8671875,16175.25
25,0.9709999561309814,0.9474999904632568,2332.990478515625,18558.4765625,15929.1416015625
26,0.9711999893188475,0.948099970817566,2230.15771484375,18625.783203125,15701.3115234375
27,0.972000002861023,0.9488999843597412,2228.112060546875,18777.6015625,15491.4990234375
28,0.9708999991416932,0.9490000009536744,2231.285888671875,18869.205078125,15294.9091796875
29,0.9708999991416932,0.9495999813079834,2098.974609375,18553.98046875,15106.1220703125
30,0.9717999696731568,0.950499951839447,2067.78759765625,18729.57421875,14927.21875
31,0.9704999923706056,0.9509999752044678,2080.51513671875,18894.318359375,14750.26171875
32,0.9721999764442444,0.9511999487876892,1945.7254638671875,18697.908203125,14570.3310546875
33,0.9716999530792236,0.9511999487876892,1919.4599609375,18891.7734375,14404.228515625
34,0.9721999764442444,0.9521999955177308,1850.24560546875,18623.623046875,14250.6484375
35,0.9713999629020692,0.9520999789237976,1886.1353759765625,18897.91015625,14103.9853515625
36,0.971299946308136,0.9532999992370604,1792.7445068359375,18781.634765625,13968.33984375
37,0.9732999801635742,0.9528999924659728,1784.7838134765625,18783.501953125,13842.1328125
38,0.9709999561309814,0.9528999924659728,1850.5216064453125,18912.37890625,13725.841796875
39,0.9731999635696412,0.9524999856948853,1835.6094970703125,19107.97265625,13614.1484375
40,0.972599983215332,0.9535999894142152,1724.2606201171875,18947.02734375,13509.4404296875
