epoch,correct-output,test-loss,unsatisfied,examples,crispness,crisp-widths,preconditions,consequent,total
1,0.8885999917984009,0.0173049867153167,9922.322265625,2444.892578125,50875.59375,0.5002410411834717,10902.30859375,105791.375,2760000.0
2,0.9220999479293824,0.017256150022149,8072.65625,1610.868408203125,50192.796875,0.5004820823669434,8984.3447265625,105223.59375,2760000.0
3,0.9347999691963196,0.0172389969229698,7222.41015625,1326.999267578125,49606.4375,0.5006985664367676,8079.7001953125,105035.4765625,2760000.0
4,0.942200005054474,0.0172293130308389,6696.3466796875,1168.99169921875,49067.015625,0.5008658766746521,7508.28564453125,104951.078125,2760000.0
5,0.9473999738693236,0.0172212831676006,6325.63134765625,1067.330078125,48592.72265625,0.5009691715240479,7104.90576171875,104899.2421875,2760000.0
6,0.9526999592781068,0.0172148738056421,5999.18896484375,1000.7085571289062,48163.98046875,0.5010478496551514,6751.08203125,104891.4140625,2760000.0
7,0.9551999568939208,0.0172106381505727,5767.73876953125,943.6682739257812,47722.1640625,0.5011610388755798,6497.7353515625,104860.734375,2760000.0
8,0.9585999846458436,0.01720767095685,5605.2919921875,882.2904663085938,47304.01953125,0.5012496113777161,6309.205078125,104807.8359375,2760000.0
9,0.9598000049591064,0.017206048592925,5471.333984375,841.769775390625,46906.5625,0.5013430714607239,6156.494140625,104772.578125,2760000.0
10,0.9616999626159668,0.0172042809426784,5342.02587890625,810.966064453125,46525.95703125,0.5014266967773438,6009.0869140625,104761.0703125,2760000.0
11,0.9634999632835388,0.0172021519392728,5199.388671875,781.4765625,46165.2265625,0.5014709830284119,5849.6943359375,104748.40625,2760000.0
12,0.9639999866485596,0.017200157046318,5070.5771484375,755.3577880859375,45836.9765625,0.5015251040458679,5707.87841796875,104736.875,2760000.0
13,0.9650999903678894,0.0171986799687147,4992.77392578125,736.7517700195312,45521.7890625,0.5015546083450317,5619.45947265625,104731.78125,2760000.0
14,0.9659000039100648,0.0171971265226602,4900.73974609375,714.6172485351562,45227.60546875,0.501579225063324,5514.05126953125,104722.6796875,2760000.0
15,0.9669999480247498,0.0171953607350587,4827.150390625,697.5869140625,44933.09765625,0.501579225063324,5432.21337890625,104716.859375,2760000.0
16,0.9680999517440796,0.0171942524611949,4754.58642578125,685.3724975585938,44639.31640625,0.5016037821769714,5352.64306640625,104714.3046875,2760000.0
17,0.9695000052452089,0.0171929765492677,4685.16455078125,672.5084838867188,44389.36328125,0.5016382336616516,5277.94921875,104706.2890625,2760000.0
18,0.9699999690055848,0.0171930845826864,4620.8369140625,658.0409545898438,44132.0,0.501643180847168,5204.505859375,104693.6171875,2760000.0
19,0.9711999893188475,0.0171922463923692,4590.2861328125,654.568603515625,43886.7734375,0.501707136631012,5173.56591796875,104693.75,2760000.0
20,0.9716999530792236,0.0171916093677282,4541.453125,647.3592529296875,43683.8203125,0.5017120242118835,5122.26953125,104687.453125,2760000.0
21,0.972000002861023,0.0171917174011468,4492.71044921875,639.3077392578125,43467.2734375,0.5017021894454956,5067.8935546875,104681.9921875,2760000.0
22,0.9715999960899352,0.0171905644237995,4462.2861328125,637.8505249023438,43292.640625,0.5017169713973999,5037.14453125,104694.8671875,2760000.0
23,0.971299946308136,0.0171913392841815,4436.94677734375,641.5658569335938,43097.86328125,0.5017464756965637,5012.59130859375,104705.2265625,2760000.0
24,0.9713999629020692,0.0171905942261219,4408.693359375,641.4937133789062,42902.27734375,0.501761257648468,4986.6708984375,104701.78125,2760000.0
25,0.9710999727249146,0.0171897765249013,4376.3681640625,632.4364624023438,42684.1015625,0.5017661452293396,4950.84619140625,104686.40625,2760000.0
26,0.9698999524116516,0.0171918869018554,4324.69384765625,621.9165649414062,42473.18359375,0.5018153786659241,4889.79638671875,104679.7734375,2760000.0
27,0.9722999930381776,0.0171905644237995,4255.46923828125,613.2299194335938,42223.34765625,0.5018055438995361,4817.9580078125,104669.0703125,2760000.0
28,0.9723999500274658,0.0171889830380678,4230.72412109375,618.7477416992188,41946.84765625,0.5018005967140198,4799.30517578125,104682.4140625,2760000.0
29,0.9723999500274658,0.0171899925917387,4215.51611328125,626.3815307617188,41658.08984375,0.5017809271812439,4794.4599609375,104663.4765625,2760000.0
30,0.9724999666213988,0.0171890445053577,4236.4951171875,630.4664306640625,41332.734375,0.5017563104629517,4819.4462890625,104667.265625,2760000.0
31,0.9714999794960022,0.0171912238001823,4240.9541015625,638.0616455078125,40993.31640625,0.5017661452293396,4830.0390625,104663.890625,2760000.0
32,0.9722999930381776,0.017191007733345,4282.8544921875,657.5432739257812,40560.54296875,0.5018055438995361,4896.06201171875,104642.015625,2760000.0
33,0.9726999998092652,0.0171908251941204,4305.79541015625,693.2300415039062,40108.82421875,0.501771092414856,4951.87158203125,104659.4765625,2760000.0
34,0.9723999500274658,0.017190296202898,4396.669921875,828.1588745117188,39620.65625,0.5017956495285034,5176.40283203125,104656.90625,2760000.0
35,0.9699999690055848,0.0171913485974073,4521.28857421875,1007.2529907226562,39113.453125,0.5018448829650879,5461.40478515625,104736.8828125,2760000.0
36,0.9696999788284302,0.0171911623328924,4698.47314453125,1216.8045654296875,38696.5234375,0.5018694996833801,5849.10791015625,104728.171875,2760000.0
37,0.964299976825714,0.0171962268650531,4859.6083984375,1460.4539794921875,38280.75,0.5019580125808716,6228.60595703125,104884.671875,2760000.0
