epoch,output-distance,correct-output,correct-param,param-mean-distance,param-max-distance
1,0.0296997964392438,0.9703,0.6399999856948853,0.4210502207279205,0.9930197596549988
2,0.0297016649887364,0.9703,0.6599999666213989,0.3722913265228271,0.989407479763031
3,0.0297903758327243,0.9703,0.8199999928474426,0.2828657329082489,0.9791176319122314
4,0.0361587698072195,0.9704,0.9399999976158142,0.1510301232337951,0.9783466458320618
5,0.0620170881390571,0.9721,0.959999978542328,0.0832477807998657,0.929183840751648
6,0.0596909692049026,0.9785,0.959999978542328,0.0677395686507225,0.8062072992324829
7,0.0547285570323467,0.9832,0.9799999594688416,0.0600761398673057,0.6767904162406921
8,0.051559022295475,0.9859,0.9799999594688416,0.055552702397108,0.6040462851524353
9,0.0493599551200866,0.9878,0.9799999594688416,0.0524720288813114,0.558611273765564
10,0.047686244392395,0.9895,0.9799999594688416,0.0501632876694202,0.5263937711715698
11,0.0463385551214218,0.9909,0.9799999594688416,0.048329047858715,0.5017275810241699
12,0.0452121902108192,0.9917,1.0,0.0468138195574283,0.4818823933601379
13,0.0442454977631568,0.9933,1.0,0.0455266572535038,0.4653555154800415
14,0.0433992052078247,0.9942,1.0,0.0444100424647331,0.4512391090393066
15,0.0426467873513698,0.9949,1.0,0.0434253811836242,0.4389457106590271
16,0.0419694989562034,0.995,1.0,0.0425456240773201,0.4280748963356018
17,0.0413536197066307,0.9965,1.0,0.041751068085432,0.4183424115180969
18,0.0407888495028018,0.997,1.0,0.0410270020365715,0.4095394015312195
19,0.0402672108590602,0.9971,1.0,0.0403621196746826,0.4015083909034729
20,0.0397824344456195,0.9977,1.0,0.0397475622594356,0.3941278457641601
21,0.0393294810354709,0.9979,1.0,0.0391762778162956,0.387302041053772
22,0.0389043157994747,0.9985,1.0,0.0386425741016864,0.3809544444084167
23,0.0385035440921783,0.9987,1.0,0.0381417758762836,0.3750230669975281
24,0.0381243653237819,0.9989,1.0,0.0376699864864349,0.36945641040802
25,0.0377644622564315,0.9993,1.0,0.0372239835560321,0.3642123341560364
26,0.0374218255400657,0.9994,1.0,0.0368010140955448,0.3592548966407776
27,0.0370947458386421,0.9994,1.0,0.0363987274467945,0.3545539975166321
28,0.0367817538022995,0.9995,1.0,0.0360151194036006,0.3500837683677673
29,0.0364815519571304,0.9996,1.0,0.035648439079523,0.3458217978477478
30,0.0361930626690387,0.9999,1.0,0.0352971814572811,0.3417490124702453
31,0.0359152731180191,1.0,1.0,0.0349600128829479,0.337848424911499
32,0.0356473345041275,1.0,1.0,0.0346357636153698,0.3341054916381836
33,0.0353884882569313,1.0,1.0,0.0343234091997146,0.3305071592330932
34,0.0351380451977252,1.0,1.0,0.0340220294892787,0.3270419239997864
35,0.034895396476984,1.0,1.0,0.0337308049201965,0.3236995935440063
36,0.0346599880486726,1.0,1.0,0.033449001610279,0.320470929145813
37,0.034431336402893,1.0,1.0,0.0331759676337242,0.3173480033874511
38,0.0342089783370494,1.0,1.0,0.0329110994935035,0.3143231868743896
39,0.0339925337672233,1.0,1.0,0.0326538644731044,0.3113900423049927
40,0.0337816262632608,1.0,1.0,0.0324037745594978,0.3085426092147827
41,0.033575922614336,1.0,1.0,0.0321603901684284,0.3057753443717956
42,0.0333751127660274,1.0,1.0,0.0319233015179634,0.3030832409858703
43,0.0331789224267005,1.0,1.0,0.0316921509802341,0.3004618883132934
44,0.0329870953172445,1.0,1.0,0.0314665883779525,0.2979071736335754
45,0.0327993924796581,1.0,1.0,0.0312463138252496,0.2954152822494507
46,0.0326156036436557,1.0,1.0,0.0310310255736112,0.2929825782775879
47,0.0324355169773101,1.0,1.0,0.0308204740285873,0.2906060218811035
48,0.0322589550971984,1.0,1.0,0.0306144133210182,0.288282573223114
49,0.0320857356250286,1.0,1.0,0.0304126068949699,0.2860096096992492
50,0.0319157083272933,1.0,1.0,0.0302148628979921,0.2837845683097839
51,0.0317487153202295,1.0,1.0,0.030020972713828,0.2816050052642822
52,0.0315846309572458,1.0,1.0,0.0298307668417692,0.279468834400177
53,0.0314233117043972,1.0,1.0,0.0296440683305263,0.2773739695549011
54,0.0312646426677703,1.0,1.0,0.0294607207179069,0.2753185629844665
55,0.0311085153073072,1.0,1.0,0.0292805936187505,0.2733010053634643
56,0.0309548255175352,1.0,1.0,0.0291035305708646,0.2713194489479065
57,0.0308034592956304,1.0,1.0,0.0289294142276048,0.2693723440170288
58,0.0306543273568153,1.0,1.0,0.0287581104785203,0.2674583196640014
59,0.030507355672121,1.0,1.0,0.0285895243287086,0.2655761241912842
60,0.030362439122796,1.0,1.0,0.0284235309809446,0.2637242674827575
61,0.0302195168644189,1.0,1.0,0.0282600428909063,0.2619017362594604
62,0.0300785141468048,1.0,1.0,0.0280989687889814,0.2601075172424316
63,0.0299393575340509,1.0,1.0,0.027940209954977,0.2583402991294861
64,0.0298019936203956,1.0,1.0,0.0277836956083774,0.2565993070602417
65,0.0296663439035415,1.0,1.0,0.0276293363422155,0.2548832297325134
66,0.0295323678255081,1.0,1.0,0.0274770725518465,0.2531917095184326
67,0.0293999834865331,1.0,1.0,0.0273268073797225,0.2515235543251037
68,0.0292691709339618,1.0,1.0,0.0271785017102956,0.2498781681060791
69,0.0291398612886667,1.0,1.0,0.0270320735871791,0.2482545971870422
70,0.0290120031952857,1.0,1.0,0.026887472718954,0.2466523051261901
71,0.0288855796456336,1.0,1.0,0.0267446432262659,0.2450705766677856
72,0.0287605179935693,1.0,1.0,0.026603527367115,0.243508756160736
73,0.0286367843955755,1.0,1.0,0.0264640673995018,0.2419663071632385
74,0.0285143554866313,1.0,1.0,0.0263262242078781,0.2404424548149109
75,0.0283931774795055,1.0,1.0,0.02618994936347,0.2389369010925293
76,0.0282732248783111,1.0,1.0,0.0260552000254392,0.237449049949646
77,0.0281544457554817,1.0,1.0,0.0259219203144311,0.2359783053398132
78,0.0280368390262126,1.0,1.0,0.0257900897413492,0.2345243692398071
79,0.0279203565746545,1.0,1.0,0.0256596598774194,0.2330865859985351
80,0.0278049764305353,1.0,1.0,0.0255305953323841,0.2316645383834839
81,0.0276906558871269,1.0,1.0,0.0254028607159852,0.2302579283714294
82,0.0275773914158344,1.0,1.0,0.0252764262259006,0.2288664579391479
83,0.0274651419401168,1.0,1.0,0.0251512564718723,0.2274895906448364
84,0.0273538844019174,1.0,1.0,0.0250273197889328,0.2261270880699157
85,0.0272436017930507,1.0,1.0,0.0249045882374048,0.2247784733772277
86,0.0271342717260122,1.0,1.0,0.0247830394655466,0.2234434485435485
87,0.0270258622229099,1.0,1.0,0.0246626399457454,0.2221217155456543
88,0.0269183659613132,1.0,1.0,0.0245433654636144,0.220812976360321
89,0.0268117585301399,1.0,1.0,0.0244251955300569,0.2195170521736145
90,0.0267060154020786,1.0,1.0,0.0243080984801054,0.2182336449623108
91,0.0266011242568492,1.0,1.0,0.0241920556873083,0.2169623374938964
92,0.0264970611333847,1.0,1.0,0.0240770373493433,0.2157028317451477
93,0.0263938217669725,1.0,1.0,0.0239630378782749,0.2144550681114196
94,0.0262913781821727,1.0,1.0,0.0238500200212001,0.213218867778778
95,0.0261897320777177,1.0,1.0,0.0237379856407642,0.2119938135147094
96,0.0260888493418693,1.0,1.0,0.0236268974840641,0.2107797861099243
97,0.0259887197434902,1.0,1.0,0.0235167406499385,0.2095764279365539
98,0.0258893325686454,1.0,1.0,0.0234075058251619,0.2083836793899536
99,0.0257906661689281,1.0,1.0,0.0232991650700569,0.2072013020515442
100,0.0256927309334278,1.0,1.0,0.0231917165219783,0.2060291767120361
