epoch,output-distance,correct-output,correct-param,param-mean-distance,param-max-distance
1,0.0305,0.9695,0.912000060081482,0.171171948313713,0.9909628033638
2,0.0304995127797126,0.9695,1.0,0.0382764004170894,0.2368963062763214
3,0.0304994511604309,0.9695,1.0,0.0382654964923858,0.1818165183067321
4,0.0304993611693382,0.9695,1.0,0.03745549172163,0.1816463470458984
5,0.0304990616440773,0.9695,1.0,0.0367042049765586,0.1814252734184265
6,0.0304991673827171,0.9695,1.0,0.0369847081601619,0.1811788082122802
7,0.0304991660356521,0.9695,1.0,0.0367288626730442,0.1809542179107666
8,0.0304993195176124,0.9695,1.0,0.037476822733879,0.2100400030612945
9,0.030499107658863,0.9695,1.0,0.0367653258144855,0.1803851723670959
10,0.030499141383171,0.9695,1.0,0.037102673202753,0.1800764799118042
11,0.0304990755558013,0.9695,1.0,0.0368158966302871,0.1797829866409301
12,0.0304991205930709,0.9695,1.0,0.0369703248143196,0.1795010566711425
13,0.030498826265335,0.9695,1.0,0.0359558425843715,0.1791726350784301
14,0.0304990548610687,0.9695,1.0,0.0367202199995517,0.1786839962005615
15,0.0304990017652511,0.9695,1.0,0.0364572592079639,0.1783320307731628
16,0.0304992130041122,0.9695,1.0,0.0374098978936672,0.1779652833938598
17,0.0304991060733795,0.9695,1.0,0.0371844805777072,0.1776276230812072
18,0.0304990223288536,0.9695,1.0,0.0369139164686203,0.1772887110710144
19,0.0304990088939666,0.9695,1.0,0.0369149185717105,0.1769114136695861
20,0.0304988709926605,0.9695,1.0,0.0361701771616935,0.1764088869094848
21,0.0304990879774093,0.9695,1.0,0.0370820239186286,0.1759275197982788
22,0.0304987200379371,0.9695,1.0,0.0362927950918674,0.2438037991523742
23,0.0304991052150726,0.9695,1.0,0.0370251573622226,0.1750091314315796
24,0.0304992350697517,0.9695,1.0,0.0377593487501144,0.17465740442276
25,0.0304989605545997,0.9695,1.0,0.0366682298481464,0.1741389036178589
26,0.0304988890409469,0.9695,1.0,0.0363200232386589,0.1735820174217224
27,0.0304990114927291,0.9695,1.0,0.0368269234895706,0.1730729937553405
28,0.0304991997361183,0.9695,1.0,0.0379500538110733,0.1725143194198608
29,0.0304989233732223,0.9695,1.0,0.0366674400866031,0.1719920039176941
30,0.0304991693139076,0.9695,1.0,0.0374882742762565,0.1714195013046264
31,0.0304989748716354,0.9695,1.0,0.0368077419698238,0.1709219813346862
32,0.0304988367915153,0.9695,1.0,0.0361950993537902,0.1703654527664184
33,0.0304988135457038,0.9695,1.0,0.0363707207143306,0.1698921918869018
34,0.0304989226698875,0.9695,1.0,0.036953117698431,0.1694022417068481
35,0.0304987501382827,0.9695,1.0,0.0362555645406246,0.168860912322998
36,0.0304991716623306,0.9695,1.0,0.0376147627830505,0.1682928204536438
37,0.0304989179849624,0.9695,1.0,0.0369624495506286,0.1678188443183899
38,0.0304989303350448,0.9695,1.0,0.0369750931859016,0.1673342585563659
39,0.0304988577246665,0.9695,1.0,0.0365413762629032,0.1666896939277649
40,0.0304985757827758,0.9695,1.0,0.035838920623064,0.1662023663520813
41,0.0304991280317306,0.9695,1.0,0.037724133580923,0.1655579805374145
42,0.0304987861990928,0.9695,1.0,0.0365771800279617,0.1834007799625396
43,0.0304986634254455,0.9695,1.0,0.0359967462718486,0.1643924117088318
44,0.0304992890715599,0.9695,1.0,0.038778506219387,0.1638311743736267
45,0.0304991851687431,0.9695,1.0,0.0377513207495212,0.163339614868164
46,0.0304984204053878,0.9695,1.0,0.0356582589447498,0.162794828414917
47,0.0304987206220626,0.9695,1.0,0.036565076559782,0.1621395349502563
48,0.030499181318283,0.9695,1.0,0.0377636440098285,0.1615524888038635
49,0.0304985748887062,0.9695,1.0,0.0360568054020404,0.1610162258148193
50,0.0304990478515625,0.9695,1.0,0.0374852605164051,0.1604061722755432
51,0.0304989397644996,0.9695,1.0,0.0368884801864624,0.1692785620689392
52,0.0304990747570991,0.9695,1.0,0.0377869755029678,0.1986669898033142
53,0.0304989901423454,0.9695,1.0,0.0373380668461322,0.1586942672729492
54,0.0304989126205444,0.9695,1.0,0.036972802132368,0.1580315828323364
55,0.0304987810134887,0.9695,1.0,0.0366593636572361,0.1574571132659912
56,0.0304985944032669,0.9695,1.0,0.0361984111368656,0.1568713784217834
57,0.0304983652591705,0.9695,1.0,0.03578357771039,0.1562919020652771
58,0.0304990617513656,0.9695,1.0,0.0378982350230217,0.1555784344673156
59,0.0304991582036018,0.9695,1.0,0.0379924476146698,0.1550514101982116
60,0.0304988856911659,0.9695,1.0,0.0367561466991901,0.1543864607810974
61,0.030498778450489,0.9695,1.0,0.036593172699213,0.1615744680166244
62,0.0304992691159248,0.9695,1.0,0.0384372659027576,0.1714827716350555
63,0.0304989624619483,0.9695,1.0,0.0374151952564716,0.1524839997291565
64,0.0304991582036018,0.9695,1.0,0.0382254607975482,0.1519177556037902
65,0.0304986688375473,0.9695,1.0,0.036682866513729,0.1669041663408279
66,0.0304981707930564,0.9695,1.0,0.0351094603538513,0.1506773233413696
67,0.0304983112931251,0.9695,1.0,0.0357025377452373,0.1499653458595276
68,0.0304988548398017,0.9695,1.0,0.0369056351482868,0.1493781805038452
69,0.0304988878965377,0.9695,1.0,0.0371092706918716,0.216262862086296
70,0.0304987254142761,0.9695,1.0,0.0370110012590885,0.2436098009347915
71,0.030498522567749,0.9695,1.0,0.0361321046948432,0.1474518179893493
72,0.0304983106255531,0.9695,1.0,0.0354936420917511,0.1469016671180725
73,0.0304991068601608,0.9695,1.0,0.0380052775144577,0.2115588933229446
74,0.0304988141059875,0.9695,1.0,0.0370813831686973,0.1458191871643066
75,0.0304987785458564,0.9695,1.0,0.0369803607463836,0.1453192234039306
76,0.0304988568425178,0.9695,1.0,0.0373047888278961,0.1447535157203674
77,0.0304985659241676,0.9695,1.0,0.0363607518374919,0.1442466974258422
78,0.0304986500620841,0.9695,1.0,0.0365161523222923,0.1437113881111145
79,0.0304987909555435,0.9695,1.0,0.0370854921638965,0.1430400609970092
80,0.0304984905242919,0.9695,1.0,0.0361468605697155,0.1425419449806213
81,0.0304991330504417,0.9695,1.0,0.0381720326840877,0.1420059204101562
82,0.0304989730238914,0.9695,1.0,0.0377779118716716,0.1527692973613739
83,0.030498459970951,0.9695,1.0,0.0362283922731876,0.1410986185073852
84,0.0304987471580505,0.9695,1.0,0.0370025373995304,0.1406992673873901
85,0.0304986931681633,0.9695,1.0,0.0370080843567848,0.1661499440670013
86,0.0304985470056533,0.9695,1.0,0.0367264710366725,0.1413110494613647
87,0.0304984639167785,0.9695,1.0,0.0363160036504268,0.1394664347171783
88,0.030498539686203,0.9695,1.0,0.0364698432385921,0.138613760471344
89,0.0304988787651062,0.9695,1.0,0.0373259037733078,0.1452083438634872
90,0.0304990234017372,0.9695,1.0,0.0379691272974014,0.1375738978385925
91,0.0304989767670631,0.9695,1.0,0.0375175327062606,0.1369765400886535
92,0.030498969066143,0.9695,1.0,0.0378802269697189,0.2062181532382965
93,0.030498433971405,0.9695,1.0,0.0363128371536731,0.1360475420951843
94,0.0304989954233169,0.9695,1.0,0.037780076265335,0.2312833964824676
95,0.0304985746622085,0.9695,1.0,0.0366456247866153,0.135065495967865
96,0.0304984903812408,0.9695,1.0,0.0362687557935714,0.1954087913036346
97,0.030498999106884,0.9695,1.0,0.0376403890550136,0.1468641310930252
98,0.0304987546443939,0.9695,1.0,0.037267368286848,0.1352085322141647
99,0.0304982962727546,0.9695,1.0,0.0357362926006317,0.1331362724304199
100,0.0304987008094787,0.9695,1.0,0.0369008108973503,0.1986729204654693
