epoch,output-distance,correct-output,correct-param,param-mean-distance,param-max-distance
1,0.429129065656662,0.5893,0.9000000357627869,0.2494894564151764,0.6194106340408325
2,0.3935586308479309,0.6685,0.9000000357627869,0.2020044773817062,0.5386689305305481
3,0.3693028785705566,0.7388,1.0,0.1785014122724533,0.486986756324768
4,0.3519716295242309,0.7806,1.0,0.1640301346778869,0.4523515105247497
5,0.3387351153373718,0.8177,1.0,0.1539217084646225,0.4271358251571655
6,0.3281182388305664,0.8439,1.0,0.1462981849908828,0.4076351523399353
7,0.3192964388370514,0.8762,1.0,0.1402490437030792,0.3918939232826233
8,0.3117713224887848,0.8909,1.0,0.1352732628583908,0.3787817358970642
9,0.3052216420173645,0.9039,1.0,0.1310694217681884,0.3675954937934875
10,0.2994295348167419,0.9256,1.0,0.1274437010288238,0.3578722476959228
11,0.2942410377502441,0.9334,1.0,0.1242648586630821,0.3492928147315979
12,0.2895436904907226,0.9436,1.0,0.1214404329657554,0.3416289687156677
13,0.2852529959678649,0.9495,1.0,0.1189030408859252,0.3347123265266418
14,0.2813039555072784,0.9582,1.0,0.1166021823883056,0.3284154534339905
15,0.2776456117630005,0.9674,1.0,0.1144991293549537,0.322640061378479
16,0.2742374004364014,0.9728,1.0,0.1125637292861938,0.3173086643218994
17,0.2710463088035583,0.9745,1.0,0.1107718870043754,0.3123592138290405
18,0.2680453461170196,0.9791,1.0,0.1091041564941406,0.3077413439750671
19,0.2652121692657471,0.9825,1.0,0.107544794678688,0.3034138083457947
20,0.2625278924942016,0.9854,1.0,0.1060805842280387,0.2993421554565429
21,0.2599766739845275,0.9898,1.0,0.1047006174921989,0.2954976558685303
22,0.2575450071334839,0.9898,1.0,0.1033956557512283,0.291856050491333
23,0.2552210980415344,0.9921,1.0,0.102157786488533,0.2883962988853454
24,0.252994988822937,0.9929,1.0,0.1009803786873817,0.2851006984710693
25,0.2508578201770782,0.9938,1.0,0.0998575314879417,0.2819536924362182
26,0.2488019543647766,0.9946,1.0,0.0987842604517936,0.2789419293403625
27,0.2468205683946609,0.9972,1.0,0.0977561697363853,0.2760534882545471
28,0.2449076454162597,0.9987,1.0,0.0967693403363227,0.273277997970581
29,0.243057923746109,0.9987,1.0,0.0958203971385955,0.2706064581871032
30,0.2412665579319,0.9987,1.0,0.0949063226580619,0.2680304646492004
31,0.2395293725967407,0.9987,1.0,0.0940244272351265,0.2655428647994995
32,0.2378425424575805,0.9987,1.0,0.0931723117828369,0.2631373405456543
33,0.2362026290416717,0.9994,1.0,0.0923478379845619,0.260807991027832
34,0.2346063315868377,1.0,1.0,0.0915490016341209,0.2585493326187134
35,0.233051030087471,1.0,1.0,0.0907741338014602,0.2563569545745849
36,0.231534127998352,1.0,1.0,0.0900216326117515,0.2542263865470886
37,0.2300531368017196,1.0,1.0,0.0892900452017784,0.2521535754203796
38,0.2286060541152954,1.0,1.0,0.0885780826210975,0.2501352429389953
39,0.2271908869981765,1.0,1.0,0.0878845602273941,0.2481681108474731
40,0.2258057076931,1.0,1.0,0.0872083455324173,0.2462489008903503
41,0.2244488935470581,1.0,1.0,0.0865484625101089,0.2443751096725464
42,0.2231189802646637,1.0,1.0,0.0859039947390556,0.2425441741943359
43,0.2218145866632461,1.0,1.0,0.0852741301059722,0.2407538890838623
44,0.2205342048168182,1.0,1.0,0.0846580043435096,0.2390018105506897
45,0.219276787161827,1.0,1.0,0.0840549692511558,0.2372862696647644
46,0.2180411270141601,1.0,1.0,0.0834643393754959,0.235605239868164
47,0.2168261363983154,1.0,1.0,0.0828854665160179,0.2339569330215454
48,0.215630970454216,1.0,1.0,0.0823178216814994,0.2323400378227234
49,0.2144546411514282,1.0,1.0,0.081760860979557,0.2307531237602234
50,0.2132962663173675,1.0,1.0,0.0812140628695488,0.2291944622993469
51,0.2121551503419876,1.0,1.0,0.0806769952178001,0.2276632189750671
52,0.2110304399490356,1.0,1.0,0.0801492109894752,0.2261579036712646
53,0.2099214480400085,1.0,1.0,0.0796302780508995,0.2246773838996887
54,0.208827522611618,1.0,1.0,0.079119861125946,0.2232205867767334
55,0.2077481113910675,1.0,1.0,0.078617587685585,0.2217867374420166
56,0.2066826054811477,1.0,1.0,0.0781231299042701,0.2203748226165771
57,0.2056304695606231,1.0,1.0,0.0776361748576164,0.2189840078353881
58,0.2045911142349243,1.0,1.0,0.0771564394235611,0.2176132798194885
59,0.2035641685962677,1.0,1.0,0.0766836181282997,0.2162621021270752
60,0.2025491125583648,1.0,1.0,0.0762174651026725,0.2149296998977661
61,0.2015455574035644,1.0,1.0,0.0757577642798423,0.2136152982711792
62,0.2005530543804168,1.0,1.0,0.0753042325377464,0.2123183608055114
63,0.1995712888240814,1.0,1.0,0.0748566910624504,0.2110383510589599
64,0.1985997898578644,1.0,1.0,0.0744149014353752,0.2097745537757873
65,0.1976382791042328,1.0,1.0,0.0739786848425865,0.2085264325141906
66,0.1966864398479461,1.0,1.0,0.07354786247015,0.2072935700416565
67,0.1957439447879791,1.0,1.0,0.0731222406029701,0.2060753107070922
68,0.1948105330467224,1.0,1.0,0.0727016851305961,0.2048714160919189
69,0.19388591132164,1.0,1.0,0.0722860097885131,0.2036814093589782
70,0.1929697695493698,1.0,1.0,0.0718750730156898,0.2025046944618225
71,0.1920619220256805,1.0,1.0,0.0714687332510948,0.2013409733772277
72,0.1911621222019195,1.0,1.0,0.0710668712854385,0.200190007686615
73,0.1902701048374176,1.0,1.0,0.0706693306565284,0.1990512013435363
74,0.1893857113838195,1.0,1.0,0.0702760219573974,0.1979243755340576
75,0.1885087270736694,1.0,1.0,0.0698867961764335,0.1968092322349548
76,0.1876388892650604,1.0,1.0,0.0695015713572502,0.195705235004425
77,0.1867760472774505,1.0,1.0,0.069120205938816,0.1946122646331787
78,0.1859200356006622,1.0,1.0,0.0687426254153251,0.1935300230979919
79,0.1850706347465515,1.0,1.0,0.0683686956763267,0.1924581527709961
80,0.1842277851581573,1.0,1.0,0.0679984018206596,0.1913965940475464
81,0.1833913123607635,1.0,1.0,0.0676316022872924,0.1903449892997741
82,0.1825609357118606,1.0,1.0,0.0672681927680969,0.1893029808998108
83,0.1817366367101669,1.0,1.0,0.0669081211090087,0.1882705092430114
84,0.1809182735919952,1.0,1.0,0.0665513202548027,0.1872473359107971
85,0.1801057592868805,1.0,1.0,0.0661977156996727,0.1862333416938781
86,0.1792988277912139,1.0,1.0,0.065847210586071,0.1852281093597412
87,0.1784974786043167,1.0,1.0,0.065499760210514,0.1842315793037414
88,0.1777015202283859,1.0,1.0,0.0651552677154541,0.1832435727119445
89,0.1769108913898468,1.0,1.0,0.0648136958479881,0.1822638511657714
90,0.1761255676746368,1.0,1.0,0.0644750371575355,0.1812924146652221
91,0.1753452842235565,1.0,1.0,0.0641391277313232,0.1803288459777832
92,0.1745700259923935,1.0,1.0,0.0638059824705123,0.1793731451034546
93,0.1737996926069259,1.0,1.0,0.0634755045175552,0.1784250736236572
94,0.1730341962575912,1.0,1.0,0.0631476864218711,0.1774845719337463
95,0.1722734517335891,1.0,1.0,0.0628224536776542,0.1765514612197876
96,0.1715173723220825,1.0,1.0,0.0624997615814209,0.1756256222724914
97,0.1707659858465194,1.0,1.0,0.0621796026825904,0.1747071146965026
98,0.170019004702568,1.0,1.0,0.0618618503212928,0.1737954020500183
99,0.1692765388488769,1.0,1.0,0.0615465231239795,0.1728907823562622
100,0.168538454580307,1.0,1.0,0.0612335801124572,0.1719928979873657
