epoch,output-distance,correct-output,correct-param,param-mean-distance,param-max-distance
1,0.4981,0.5019,0.550000011920929,0.4679771959781647,0.9887598752975464
2,0.4981,0.5019,0.75,0.3499577343463897,0.9809420108795166
3,0.497476368522644,0.5019,0.959999978542328,0.120602048933506,0.8810691237449646
4,0.4440966507434845,0.5019,1.0,0.0414216332137584,0.467913955450058
5,0.4109852124691009,0.502,1.0,0.0326294116675853,0.3215951323509216
6,0.3962969308853149,0.502,1.0,0.0297604985535144,0.2740766704082489
7,0.3874469367027283,0.5024,1.0,0.0282415375113487,0.2457898259162902
8,0.3823579266071319,0.5024,1.0,0.027435852214694,0.2258447110652923
9,0.3790079624176025,0.5025,1.0,0.0269357357174158,0.2098914235830307
10,0.3775298213481903,0.5025,1.0,0.0267394371330738,0.1972428113222122
11,0.3764963603496551,0.5023,1.0,0.0266105104237794,0.1859954744577407
12,0.3759299230575561,0.5023,1.0,0.0265496969223022,0.176526665687561
13,0.376079405260086,0.5021,1.0,0.0265993103384971,0.1678926944732666
14,0.3758882049560547,0.5021,1.0,0.0265926849097013,0.1594866216182708
15,0.3760329022407532,0.502,1.0,0.0266365576535463,0.1523134708404541
16,0.3759759460449218,0.5019,1.0,0.0266449898481369,0.1458844542503357
17,0.3765552550792694,0.5019,1.0,0.0267551504075527,0.1401094943284988
18,0.3764194170951843,0.5019,1.0,0.0267490819096565,0.1345933824777603
19,0.3765672956466674,0.5019,1.0,0.0267869438976049,0.1293837279081344
20,0.3759158377170563,0.5019,1.0,0.0266953129321336,0.1245342195034027
21,0.3758384049415588,0.5019,1.0,0.026695093140006,0.1198073551058769
22,0.3758773436546325,0.5019,1.0,0.0267124604433774,0.1156966239213943
23,0.3758897468566894,0.5019,1.0,0.0267259925603866,0.111498586833477
24,0.3756135959625244,0.5019,1.0,0.0266918838024139,0.1079695671796798
25,0.3753821290493011,0.5019,1.0,0.0266643427312374,0.1045814305543899
26,0.3764200745820999,0.5019,1.0,0.0268412921577692,0.1009461805224418
27,0.3767565690040588,0.5019,1.0,0.0269046016037464,0.0979223325848579
28,0.3759197478771209,0.5019,1.0,0.0267782062292099,0.0951087698340416
29,0.3752150925159454,0.5019,1.0,0.0266723129898309,0.093806505203247
